Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO鈧) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH鈧) emissions
Hungary,HUN,1977,293929.5,1334253.2,1275684.8,25457.951,270770.16,11470.4,199660.6
Hungary,HUN,1978,313000.03,1440831.2,1342144.8,24394.281,281083.72,13260.838,202722.9
Hungary,HUN,1979,317387.97,1398872.8,1355864.2,25861.482,287205.9,12636.88,207207.28
Hungary,HUN,1980,309947.12,1371855.9,1336394.2,24492.97,285367.38,12002.476,195947.05
Hungary,HUN,1981,307811.2,1344743.9,1313873.1,24972.58,283940.1,11888.622,202952.8
Hungary,HUN,1982,305060.22,1354172.4,1330436.4,25588.473,283746.16,11532.285,215832.56
Hungary,HUN,1983,287329.28,1286121.5,1266379.2,23993.898,274821.9,10747.607,219383.25
Hungary,HUN,1984,294373.6,1318908.4,1327717.4,26195.902,281094.12,11171.88,226716.2
Hungary,HUN,1985,291339.38,1275671.5,1417136.2,26663.965,278633.38,11799.792,199790.25
Hungary,HUN,1986,286036.84,1203714.2,1393751,23464.998,276455.8,11065.428,195525.5
Hungary,HUN,1987,290790.84,1178843.1,1436111.5,23411.604,285170.03,11289.632,202659.14
Hungary,HUN,1988,282893.8,1063875.2,1446168.9,21869.709,284051.4,10644.145,208813.36
Hungary,HUN,1989,279835.3,977788.8,1433426.6,19794.61,292015.34,10204.387,198801.58
Hungary,HUN,1990,251365.61,831208.4,1380187.6,20821.76,295707.4,8877.124,160758.6
Hungary,HUN,1991,222657.06,833572.7,1295636.1,21872.39,268027.66,8025.102,143602.92
Hungary,HUN,1992,194252.6,718656.2,1020334.5,18646.287,240458.19,6446.5684,106897.22
Hungary,HUN,1993,193692.58,719600.75,1088010.8,19930.977,228368.05,6141.6973,107249.54
Hungary,HUN,1994,191546.31,633297.75,976388.4,17952.922,214256.48,5874.9424,98729.086
Hungary,HUN,1995,189260.92,618754,948137.94,17403.057,209491.75,5716.1465,98231.58
Hungary,HUN,1996,193491.73,615947.94,921061.8,16736.566,201447.9,5730.1045,105322.336
Hungary,HUN,1997,195336.06,626436.2,868863.25,16660.744,192086.89,5468.8926,101796.19
Hungary,HUN,1998,193882.88,565941.6,801683.9,15208.655,185341.31,5484.86,101447.82
Hungary,HUN,1999,197517.97,557865.56,787124.56,15340.37,184622.14,5383.8364,104615.836
Hungary,HUN,2000,183492.14,427717.7,824740.4,14542.651,187733.7,4965.079,106130.95
Hungary,HUN,2001,183013.27,346594.34,833948.1,15380.238,186700.45,5089.1313,106542.984
Hungary,HUN,2002,174091.75,272506.03,685082.44,14496.581,173354.05,5312.5537,104892.27
Hungary,HUN,2003,178444.28,246106.56,810607.94,14685.337,177742.2,5249.327,105316.37
Hungary,HUN,2004,176398.48,151195.58,744433,13433.576,172775.88,4984.6953,107239.29
Hungary,HUN,2005,172991.5,42718.582,668984.3,22648.547,169792.06,5936.428,98885.61
Hungary,HUN,2006,164634.14,38921.64,578364.8,23320.215,156402.45,5860.422,99861.03
Hungary,HUN,2007,158467.58,36081.266,537204.1,24728.178,142095.98,5768.9883,96920.81
Hungary,HUN,2008,153104.17,35666.516,477759.56,22666.105,133085.45,5636.2446,87438.7
Hungary,HUN,2009,142803.22,29623.2,521037.6,30647.652,131772.27,6204.47,86781.08
Hungary,HUN,2010,139293.72,30342.326,528227.2,34074.688,126639.32,6374.4634,85725.6
Hungary,HUN,2011,130132.27,34164.38,537931.7,36756.3,130082.06,6493.8154,86070.4
Hungary,HUN,2012,123061.96,30403.496,553897.2,38363.05,130725.12,6220.0117,87638.46
Hungary,HUN,2013,118459.82,29182.568,547172.1,38972.273,127639.91,6247.8467,88002.52
Hungary,HUN,2014,117149.65,25779.59,467171.9,32911.176,118553.13,5817.465,87743.33
Hungary,HUN,2015,117498.734,23814.738,452570.53,34649.94,122624.66,6069.554,88634.92
Hungary,HUN,2016,109362.51,23030.24,439280.22,33290.79,120792.4,5832.7515,90398.17
Hungary,HUN,2017,110122.96,27586.957,429671.25,31656.877,120172.73,5615.146,93691.91
Hungary,HUN,2018,109397.17,22914.465,368076.2,27098.693,113251.75,5242.8,93298.38
Hungary,HUN,2019,104065.445,17462.643,350452.38,25197.754,113990.25,4962.6045,92984.02
Hungary,HUN,2020,95620.46,16476.36,335072.4,24464.14,108846.22,4620.11,91575.78
Hungary,HUN,2021,97307.445,14066.39,338867.3,24581.133,110771.06,4717.3413,92114.41
Hungary,HUN,2022,91160.8,13043.011,322392.62,23664.814,108479.37,4498.5815,91658.56
